FREQ,Factor,CaVal,CsVal,CpVal
25000000.0,53.57142857142857,1.691517689711214e-10,1.3636727345469096e-10,6.480416083216643e-11
25000000.0,61.734693877551024,1.691517689711214e-10,1.3714742948589718e-10,6.55987197439488e-11
25000000.0,65.81632653061224,1.691517689711214e-10,1.3539207841568316e-10,6.460552110422084e-11
25000000.0,69.89795918367346,1.691517689711214e-10,1.3617223444688938e-10,6.500280056011202e-11
25000000.0,73.9795918367347,1.691517689711214e-10,1.3636727345469096e-10,6.54000800160032e-11
25000000.0,78.06122448979592,1.691517689711214e-10,1.3675735147029406e-10,6.55987197439488e-11
25000000.0,82.14285714285714,1.691517689711214e-10,1.3675735147029406e-10,6.579735947189438e-11
25000000.0,86.22448979591837,1.691517689711214e-10,1.3695239047809563e-10,6.599599919983998e-11
25000000.0,90.3061224489796,1.691517689711214e-10,1.3773254650930186e-10,6.619463892778556e-11
25000000.0,94.38775510204081,1.690311288911114e-10,1.291508301660332e-10,6.758511702340469e-11
25000000.0,94.38775510204081,1.691517689711214e-10,1.3539207841568316e-10,6.54000800160032e-11
25000000.0,98.46938775510205,1.690311288911114e-10,1.2895579115823166e-10,6.778375675135027e-11
25000000.0,98.46938775510205,1.691517689711214e-10,1.3539207841568316e-10,6.55987197439488e-11
25000000.0,102.55102040816327,1.690311288911114e-10,1.2856571314262853e-10,6.778375675135027e-11
25000000.0,102.55102040816327,1.691517689711214e-10,1.3539207841568316e-10,6.579735947189438e-11
25000000.0,106.63265306122449,1.690311288911114e-10,1.2837067413482698e-10,6.798239647929587e-11
25000000.0,106.63265306122449,1.691517689711214e-10,1.355871174234847e-10,6.579735947189438e-11
25000000.0,110.71428571428572,1.690311288911114e-10,1.2837067413482698e-10,6.798239647929587e-11
25000000.0,110.71428571428572,1.691517689711214e-10,1.355871174234847e-10,6.599599919983998e-11
25000000.0,114.79591836734694,1.690311288911114e-10,1.281756351270254e-10,6.798239647929587e-11
25000000.0,114.79591836734694,1.691517689711214e-10,1.3597719543908783e-10,6.619463892778556e-11
25000000.0,118.87755102040816,1.686692086510814e-10,1.3578215643128626e-10,8.029805961192239e-11
25000000.0,118.87755102040816,1.687898487310914e-10,1.3695239047809563e-10,7.711982396479296e-11
25000000.0,118.87755102040816,1.690311288911114e-10,1.2759051810362073e-10,6.778375675135027e-11
25000000.0,118.87755102040816,1.691517689711214e-10,1.3617223444688938e-10,6.619463892778556e-11
25000000.0,122.9591836734694,1.685485685710714e-10,1.424134826965393e-10,8.446949389877976e-11
25000000.0,122.9591836734694,1.686692086510814e-10,1.4845969193838768e-10,8.16885377075415e-11
25000000.0,122.9591836734694,1.690311288911114e-10,1.2739547909581918e-10,6.778375675135027e-11
25000000.0,122.9591836734694,1.691517689711214e-10,1.3617223444688938e-10,6.599599919983998e-11
25000000.0,127.04081632653062,1.683072884110514e-10,1.5294558911782356e-10,9.241508301660333e-11
25000000.0,127.04081632653062,1.690311288911114e-10,1.2739547909581918e-10,6.758511702340469e-11
25000000.0,127.04081632653062,1.691517689711214e-10,1.3617223444688938e-10,6.599599919983998e-11
25000000.0,131.12244897959184,1.679453681710214e-10,1.52750550110022e-10,1.0254570914182837e-10
25000000.0,131.12244897959184,1.687898487310914e-10,1.3090618123624726e-10,7.612662532506502e-11
25000000.0,131.12244897959184,1.691517689711214e-10,1.3636727345469096e-10,6.579735947189438e-11
25000000.0,135.20408163265307,1.675834479309914e-10,1.5353070614122826e-10,1.1148449689937988e-10
25000000.0,135.20408163265307,1.691517689711214e-10,1.3636727345469096e-10,6.579735947189438e-11
