Frequency (MHz),Ideal CaVal (pf),Middle CsVal (pf),Middle CpVal (pf),MaxI
22.0,279.9218750000003,189.40255479332384,718.1441403066199,0.6099448963052515
23.0,254.68750000000023,172.12546935557643,657.7276632360592,0.5848506014039965
24.0,232.9296875000001,156.84047454812006,604.2232949607267,0.560888212260292
25.0,213.47717285156293,143.46889469457818,557.2062228219476,0.5391579563521851
26.0,196.19079589843784,131.68295294830526,515.5497506420625,0.5187060816619592
27.0,180.85937500000026,121.1783046414786,478.5263667126032,0.5016487782352103
28.0,167.50000000000026,111.96076805162934,445.5044917138924,0.4852095153881764
29.0,154.79492187500023,103.0873703491582,413.2935954111643,0.46476619097427885
30.0,143.67187500000017,95.35693604905164,385.25132401948457,0.4488752629336663
31.0,133.59375000000014,88.53142401512983,360.43557497861957,0.4326959505437395
32.0,124.4189453125001,82.21240242302329,337.21000780541544,0.4177086103348432
33.0,116.11328125000004,76.44905024064278,315.67614182995095,0.40394136197651165
34.0,108.41796875000003,71.31518136087675,296.7609018666922,0.38986183226493665
35.0,101.56250000000018,66.3561149824786,277.9469513605089,0.3782581204151324
36.0,95.00000000000016,62.184606380761004,262.49699744396,0.3629245959316847
37.0,88.98315429687516,58.33405186422192,246.17484757909565,0.3499493127993176
38.0,83.55468750000016,54.58589553832957,232.10938453674328,0.3378156454583969
39.0,78.40820312500009,51.01963043212929,226.11065864562963,0.3285035202361717
41.0,69.72656250000007,45.13381958007812,186.8023681640627,0.30632722031278314
