CaVal,Middle CsVal,Middle CpVal,points,MaxI
3.5e-11,2.147729545909182e-10,8.132786557311462e-10,395,[0.02884525 1.09493395 0.54267442]
1.566666666666667e-10,1.9643928785757152e-10,7.346173234646929e-10,528,[0.23922201 0.86842492 0.43020518]
2.7833333333333335e-10,2.054110822164433e-10,7.342200440088017e-10,0,"[0, 0, 0]"
