CaVal,Middle CsVal,Middle CpVal,points,ICa,ICp,ICs,MaxI
3.5e-11,1.611372274454891e-10,6.352974594918983e-10,117,0.03505177779780296,0.9747851260295167,0.48301375990002976,0.9747851260295167
4.457627118644068e-11,1.601620324064813e-10,6.364892978595719e-10,118,0.04685377753223338,0.9624165628957502,0.4765343047660896,0.9624165628957502
5.415254237288136e-11,1.591868373674735e-10,6.327151430286057e-10,124,0.05994979136702503,0.9468445647493825,0.4698789502194532,0.9468445647493825
6.372881355932203e-11,1.5821164232846569e-10,6.279477895579115e-10,123,0.07438545021920134,0.9307331704428471,0.4616479495529124,0.9307331704428471
7.330508474576271e-11,1.5704140828165634e-10,6.229817963592719e-10,127,0.09060997379919669,0.9150968371081545,0.45311921299597113,0.9150968371081545
8.288135593220338e-11,1.556761352270454e-10,6.172212442488497e-10,131,0.10870002443148483,0.8945189029550067,0.44283508629458435,0.8945189029550067
9.245762711864407e-11,1.5392078415683136e-10,6.100702140428086e-10,133,0.12942950866912997,0.8732789492519623,0.4321740323233959,0.8732789492519623
1.0203389830508476e-10,1.5216543308661734e-10,6.02124624924985e-10,139,0.15297141926052707,0.8472605124635147,0.41947154271723125,0.8472605124635147
1.1161016949152543e-10,1.498249649929986e-10,5.925899179835967e-10,144,0.17993509050192477,0.8164046657838101,0.40443580561204945,0.8164046657838101
1.211864406779661e-10,1.4709441888377676e-10,5.806715343068614e-10,152,0.21155556555323998,0.7820323977809032,0.38743135563465303,0.7820323977809032
1.3076271186440678e-10,1.4358371674334868e-10,5.659721944388877e-10,161,0.2488859151854258,0.7417654868274702,0.36735451360569726,0.7417654868274702
1.4033898305084746e-10,1.3929285857171436e-10,5.471014202840567e-10,173,0.29332841449245245,0.6925233951852264,0.34294299452086485,0.6925233951852264
1.4991525423728813e-10,1.3344168833766753e-10,5.222714542908581e-10,191,0.34764596991028035,0.6328652468561298,0.31340165348147253,0.6328652468561298
1.5949152542372883e-10,1.2544508901780356e-10,4.877081416283257e-10,213,0.4149996862267669,0.5566838874886807,0.2763879003610744,0.5566838874886807
1.690677966101695e-10,1.1354770954190839e-10,4.3626045209041806e-10,254,0.500969209953744,0.46102160748341686,0.22903478149451842,0.500969209953744
1.7864406779661018e-10,9.423884776955393e-11,3.5263312662532503e-10,324,0.6145262584405362,0.33313965903820597,0.166405397590884,0.6145262584405362
1.8822033898305086e-10,5.659631926385277e-11,1.8676895379075815e-10,482,0.7706428752626021,0.14817562672084172,0.07976412475370166,0.7706428752626021
1.9779661016949153e-10,5.659631926385277e-11,1.8676895379075815e-10,0,0,0,0,0
2.073728813559322e-10,5.659631926385277e-11,1.8676895379075815e-10,0,0,0,0,0
2.1694915254237288e-10,9.182786557311464e-10,7.012458491698339e-10,1437,1.9744738738302605,1.2387705299726026,0.6133024139594381,1.9744738738302605
2.2652542372881355e-10,3.6124724944989e-10,8.667127425485097e-10,78,3.13488846561383,2.680290982003164,1.3328675244678254,3.13488846561383
2.3610169491525425e-10,2.7660032006401286e-10,9.48353670734147e-10,13,4.395406001697668,4.6880495945462455,2.3315277625073505,4.6880495945462455
2.4567796610169493e-10,2.4558911782356475e-10,9.40606721344269e-10,13,3.480443175914951,4.401870690247697,2.1840415119284065,4.401870690247697
2.552542372881356e-10,2.299859971994399e-10,9.058447689537907e-10,22,2.368531388465386,3.4041757266434267,1.6989678456226784,3.4041757266434267
2.648305084745763e-10,2.202340468093619e-10,8.758501700340068e-10,26,1.747386834888021,2.821096933030675,1.3989693187254233,2.821096933030675
2.7440677966101695e-10,2.1340768153630727e-10,8.522120424084817e-10,31,1.4045057510186112,2.4609992041200437,1.2332844364244195,2.4609992041200437
2.8398305084745763e-10,2.0853170634126827e-10,8.345331066213242e-10,38,1.1761033725159986,2.2540997869320405,1.117711042607621,2.2540997869320405
2.935593220338983e-10,2.0463092618523707e-10,8.200324064812962e-10,42,1.0184969606485934,2.092220885906679,1.0367245824847655,2.092220885906679
3.03135593220339e-10,2.0170534106821364e-10,8.081140228045609e-10,45,0.9042909903153481,1.972256105692549,0.9776966135708606,1.972256105692549
3.1271186440677965e-10,1.9916983396679337e-10,7.985793158631726e-10,49,0.8194066212102908,1.88435629838295,0.9345968228661196,1.88435629838295
3.2228813559322033e-10,1.970244048809762e-10,7.904350870174035e-10,51,0.7511273388222295,1.8139802209547997,0.8986866088623533,1.8139802209547997
3.31864406779661e-10,1.9546409281856372e-10,7.834826965393078e-10,54,0.6973362723258066,1.7581587762628617,0.8710419042870303,1.7581587762628617
3.414406779661017e-10,1.9390378075615124e-10,7.775235047009402e-10,56,0.6533249296297163,1.713073086041311,0.8485345403077602,1.713073086041311
3.5101694915254235e-10,1.9273354670934187e-10,7.719615923184636e-10,57,0.6149536736798032,1.6698243329852047,0.8275910424346307,1.6698243329852047
3.60593220338983e-10,1.9156331266253252e-10,7.681874374874975e-10,60,0.5846746930544261,1.6355124140633424,0.8128534776332985,1.6355124140633424
3.701694915254237e-10,1.9058811762352472e-10,7.640160032006401e-10,62,0.5568337267335669,1.6068213521633088,0.7976380313944034,1.6068213521633088
3.797457627118644e-10,1.8961292258451692e-10,7.604404880976195e-10,63,0.5339171760565136,1.5875441603349938,0.7861993025103718,1.5875441603349938
3.8932203389830505e-10,1.8883276655331067e-10,7.572622524504901e-10,62,0.5123409275495211,1.5588250080797914,0.773942204247393,1.5588250080797914
3.988983050847457e-10,1.88247649529906e-10,7.544812962592518e-10,65,0.494814686536948,1.5426641216082313,0.7654088185265442,1.5426641216082313
4.084745762711864e-10,1.8766253250650132e-10,7.518989797959592e-10,66,0.47872276017225035,1.5228353574464217,0.7570612529069678,1.5228353574464217
4.1805084745762707e-10,1.8707741548309662e-10,7.495153030606121e-10,68,0.4635692531566173,1.5109118117157412,0.7483839351802279,1.5109118117157412
4.276271186440678e-10,1.8649229845969194e-10,7.473302660532106e-10,67,0.4507247268494741,1.4979959145042445,0.7418452737883524,1.4979959145042445
4.372033898305085e-10,1.8610222044408882e-10,7.453438687737547e-10,68,0.43907186792570246,1.4860330157496942,0.7358904596671824,1.4860330157496942
4.4677966101694915e-10,1.8551710342068414e-10,7.435561112222445e-10,69,0.4285137822716707,1.4752972676847216,0.7305482480918444,1.4752972676847216
4.563559322033898e-10,1.8512702540508102e-10,7.419669933986797e-10,70,0.41834707923421377,1.462019182215266,0.7247696801257321,1.462019182215266
4.659322033898306e-10,1.8473694738947792e-10,7.40377875575115e-10,70,0.40931357875456476,1.4538203929143108,0.7199593825513383,1.4538203929143108
4.755084745762712e-10,1.8454190838167634e-10,7.389873974794958e-10,71,0.4008216622071549,1.4430652795983139,0.7152100256715043,1.4430652795983139
4.850847457627119e-10,1.8415183036607321e-10,7.373982796559312e-10,71,0.39316438824764177,1.435875246399502,0.7111449744070881,1.435875246399502
4.946610169491526e-10,1.837617523504701e-10,7.364050810162032e-10,72,0.38645465506497917,1.4296429747150425,0.7080777821287364,1.4296429747150425
5.042372881355932e-10,1.8356671334266854e-10,7.352132426485297e-10,74,0.3801352743136111,1.4234931296218891,0.7050812046026811,1.4234931296218891
5.138135593220339e-10,1.83371674334867e-10,7.342200440088017e-10,76,0.3739728651928784,1.415961813031814,0.701779277618415,1.415961813031814
5.233898305084746e-10,1.8298159631926387e-10,7.330282056411282e-10,72,0.367940702055942,1.4099218919912049,0.6981640792135884,1.4099218919912049
5.329661016949153e-10,1.827865573114623e-10,7.320350070014003e-10,74,0.36290240358319253,1.4042563402356771,0.6959298475214801,1.4042563402356771
5.425423728813559e-10,1.8259151830366074e-10,7.312404480896179e-10,74,0.35770383827949787,1.3973037299817495,0.6929267157426333,1.3973037299817495
5.521186440677966e-10,1.823964792958592e-10,7.302472494498899e-10,74,0.3527084906616765,1.393176232441254,0.6898804574021962,1.393176232441254
5.616949152542373e-10,1.8220144028805761e-10,7.294526905381075e-10,74,0.3487402430036919,1.3904866018610644,0.6884511111407013,1.3904866018610644
5.71271186440678e-10,1.8200640128025607e-10,7.288567713542708e-10,76,0.3445814548695768,1.381586791317461,0.6862882813471857,1.381586791317461
5.808474576271186e-10,1.818113622724545e-10,7.280622124424885e-10,76,0.3402649232752876,1.3783442558383252,0.6834656528108023,1.3783442558383252
5.904237288135593e-10,1.8161632326465294e-10,7.274662932586517e-10,77,0.3366307830485764,1.3762454680812406,0.6816934556014488,1.3762454680812406
